Temperature,Humidity,Moisture,pH,Soil Type,Tea Type,Nitrogen,Potassium,Phosphorous,Size of land,Kilos Produced,Number of Bushes,Fertilizer Name,Number of Bags
25,62,67,8.443300603201095,Sandy,Green,39,38,19,10,681,1427,Organic,13
26,78,60,6.438658656099122,Sandy,Green,46,27,28,19,1134,596,Organic,22
20,73,70,6.584791397109761,Sandy,Oolong,46,15,21,9,604,1048,NPK 20-20-10,12
22,70,52,5.4097187329827605,Clay,Oolong,35,30,13,13,1327,1151,NPK 5-10-5,26
21,77,54,6.446694302863178,Loam,Green,30,32,18,19,1441,1139,NPK 5-10-5,28
27,72,57,8.180287206377237,Sandy,Black,27,26,19,6,1329,1367,Organic,26
20,66,59,8.401168515535769,Loam,Green,46,28,17,5,1130,1303,NPK 20-20-10,22
30,69,53,8.386747864523375,Clay,Green,41,39,28,11,664,763,NPK 5-10-5,13
27,64,70,7.052649641839594,Loam,Black,35,24,25,14,1472,857,NPK 5-10-5,29
28,78,63,4.537702165777805,Sandy,Black,42,18,16,15,1456,1309,Organic,29
30,80,58,5.14721145424548,Sandy,Green,44,28,28,14,682,796,Organic,13
25,65,61,7.823168677597204,Clay,Green,37,40,7,19,1332,1075,NPK 5-10-5,26
21,70,63,8.114226007403197,Sandy,Oolong,26,17,30,6,694,1208,NPK 5-10-5,13
27,70,54,5.516507942554028,Clay,Black,28,24,8,12,1471,1496,NPK 5-10-5,29
24,76,50,5.72625916692448,Loam,Oolong,34,37,21,6,1142,568,Organic,22
29,62,54,8.458067273781383,Loam,Oolong,44,31,9,17,1437,1496,NPK 20-20-10,28
26,65,60,4.652236086599913,Clay,Green,38,37,13,18,803,634,Organic,16
30,74,64,6.9979050699337915,Loam,Black,42,21,10,12,595,729,NPK 5-10-5,11
30,65,69,8.237865654487695,Clay,Black,36,16,30,18,635,1032,NPK 20-20-10,12
27,64,68,4.797514789004264,Loam,Green,31,20,17,5,1413,925,Organic,28
27,73,58,7.013184475865451,Loam,Green,40,36,17,12,1120,1366,Organic,22
20,75,65,4.555549190140054,Loam,Oolong,26,16,30,20,1388,1239,NPK 20-20-10,27
28,62,70,5.629071226928305,Loam,Green,43,27,26,7,865,1366,Organic,17
25,75,50,4.513074545575231,Clay,Black,39,20,8,11,1481,648,NPK 5-10-5,29
23,60,57,8.130074101675458,Sandy,Green,30,39,11,6,1440,518,NPK 5-10-5,28
29,60,68,6.0411188640655755,Sandy,Black,42,19,14,18,908,1482,Organic,18
23,68,62,7.541524267722577,Sandy,Black,32,22,17,9,1464,1379,NPK 20-20-10,29
24,79,59,6.6478772216256505,Sandy,Black,43,35,27,7,793,1337,Organic,15
22,77,57,8.232703439567969,Loam,Black,27,20,22,7,1086,503,Organic,21
24,62,63,5.837456588581768,Clay,Green,49,29,5,7,1321,1044,Organic,26
24,63,61,7.814944696886396,Sandy,Green,31,25,6,15,630,1220,NPK 20-20-10,12
29,77,62,7.073420393431009,Clay,Black,42,33,20,10,614,1082,NPK 20-20-10,12
23,70,59,7.154838689433843,Loam,Oolong,47,24,22,14,752,605,Organic,15
26,63,55,8.379392544154575,Sandy,Black,40,26,8,5,888,898,Organic,17
26,64,69,8.017674297688869,Sandy,Green,48,37,7,13,1108,691,NPK 5-10-5,22
27,72,66,7.492960355837357,Sandy,Black,39,32,24,19,584,839,NPK 5-10-5,11
28,63,69,6.231801137299416,Loam,Oolong,47,23,5,19,1475,1386,NPK 20-20-10,29
26,65,58,8.318230100250414,Loam,Oolong,45,16,13,11,635,1228,Organic,12
30,80,58,5.127298249683909,Clay,Green,38,21,8,8,1342,1249,NPK 5-10-5,26
23,70,57,7.142080734381508,Loam,Green,42,32,8,13,1494,620,NPK 5-10-5,29
21,60,59,7.17614419752153,Loam,Green,50,22,14,6,614,508,NPK 5-10-5,12
20,70,51,5.644543552102559,Loam,Black,48,40,19,7,1302,535,NPK 5-10-5,26
25,72,56,7.386540901595657,Sandy,Oolong,39,20,23,16,1400,1157,NPK 5-10-5,28
20,74,54,5.501223023343483,Sandy,Green,46,21,7,7,1215,1010,NPK 5-10-5,24
26,72,55,4.534298504786215,Clay,Black,33,36,10,19,852,1335,Organic,17
29,77,69,5.446891612323025,Loam,Black,38,38,18,17,738,1116,Organic,14
29,65,59,6.732678865498988,Sandy,Green,44,25,8,18,720,1468,Organic,14
29,80,57,5.338056022818591,Sandy,Oolong,48,30,27,20,1125,1201,NPK 20-20-10,22
26,80,70,6.737405668800056,Sandy,Oolong,28,21,9,6,1337,1296,NPK 20-20-10,26
22,73,64,6.292490531243361,Sandy,Black,26,18,17,7,899,1488,NPK 5-10-5,17
28,79,70,7.324863482629768,Clay,Black,46,18,6,9,964,952,NPK 5-10-5,19
23,78,55,5.575847337679857,Clay,Black,48,15,9,18,960,509,Organic,19
21,73,60,7.937052514083609,Sandy,Green,28,29,18,11,1417,947,Organic,28
20,80,50,5.889816766064708,Sandy,Black,39,22,25,7,515,567,NPK 20-20-10,10
21,69,62,6.606128503605563,Loam,Black,42,27,9,19,694,1047,Organic,13
22,79,70,7.645823781790906,Sandy,Oolong,45,27,10,5,1094,831,NPK 20-20-10,21
25,70,66,5.068395276808315,Clay,Black,34,32,17,11,1390,1264,NPK 20-20-10,27
25,63,53,6.8652427869135355,Clay,Green,31,36,7,9,599,1386,NPK 5-10-5,11
27,64,70,5.924099669307992,Clay,Black,29,22,19,12,832,843,NPK 20-20-10,16
29,63,54,7.595160474660597,Sandy,Black,29,25,26,12,1256,1132,NPK 5-10-5,25
29,67,62,7.142215276881618,Clay,Oolong,37,16,24,8,1126,1189,Organic,22
20,62,53,6.379499732143513,Clay,Oolong,40,18,19,18,1227,686,NPK 20-20-10,24
25,63,67,6.5992274059475164,Sandy,Black,42,31,13,10,1147,991,Organic,22
30,71,67,7.397291599068953,Clay,Oolong,32,17,12,12,572,1408,NPK 5-10-5,11
22,77,56,4.530002965604613,Sandy,Green,41,27,23,11,857,723,Organic,17
20,73,54,5.4671704372069385,Loam,Oolong,46,21,24,10,1036,1009,NPK 5-10-5,20
20,60,64,5.428730479238743,Clay,Oolong,28,32,21,14,1186,1204,NPK 5-10-5,23
20,72,57,8.130146790718355,Clay,Black,41,37,25,14,571,1368,NPK 5-10-5,11
22,66,59,6.892835183911565,Sandy,Oolong,45,32,26,5,1184,1026,Organic,23
24,62,66,5.69780093447543,Loam,Oolong,36,27,16,16,850,1405,NPK 20-20-10,17
25,73,63,5.897531550756757,Sandy,Green,29,21,13,7,930,1494,NPK 20-20-10,18
20,69,67,6.068759518058062,Sandy,Black,40,23,20,14,551,638,Organic,11
22,73,66,7.242359899627667,Loam,Black,45,40,19,6,1140,1367,NPK 20-20-10,22
28,78,62,5.366144573203149,Sandy,Black,47,25,8,14,961,1034,NPK 20-20-10,19
23,61,57,7.714472349118582,Clay,Black,43,34,14,6,1404,934,Organic,28
20,77,51,8.276182645540826,Sandy,Black,40,30,8,5,1201,1086,Organic,24
23,64,65,5.8728760226772785,Sandy,Green,40,33,16,8,1440,781,NPK 5-10-5,28
27,62,52,5.316430934479625,Clay,Green,50,15,15,18,1441,754,Organic,28
25,70,56,5.061762983967732,Sandy,Green,41,33,24,13,1229,805,NPK 20-20-10,24
30,76,60,7.089441345541736,Loam,Green,26,36,17,10,679,1029,NPK 5-10-5,13
23,70,61,6.455860861584329,Clay,Black,40,32,12,9,1444,825,NPK 20-20-10,28
21,77,54,6.306564546524532,Clay,Oolong,27,40,28,14,670,563,NPK 5-10-5,13
27,72,62,8.340363504376837,Sandy,Green,38,36,5,10,550,675,NPK 5-10-5,11
24,71,60,4.613598923815696,Loam,Black,50,16,8,12,835,776,Organic,16
30,66,66,5.659244307448571,Loam,Black,44,25,10,10,1059,1457,NPK 5-10-5,21
23,71,64,8.425572748426495,Sandy,Black,27,31,14,19,511,754,NPK 20-20-10,10
26,64,54,5.969598605464077,Sandy,Oolong,43,40,15,16,1191,945,Organic,23
27,79,63,8.322026094136508,Sandy,Black,33,31,13,11,576,1195,Organic,11
30,63,63,7.636091520960687,Clay,Oolong,33,34,21,20,1144,1086,Organic,22
20,78,65,4.693738123505462,Clay,Oolong,37,33,12,6,820,1120,NPK 5-10-5,16
29,64,50,5.6786061284340015,Sandy,Oolong,27,31,24,16,1254,525,Organic,25
30,70,65,5.170847830568609,Clay,Oolong,42,38,25,7,977,727,NPK 5-10-5,19
24,71,57,8.353381082408468,Sandy,Oolong,46,28,12,19,1170,1255,Organic,23
23,72,63,6.382593241883706,Clay,Black,45,15,21,8,585,958,NPK 5-10-5,11
28,66,63,5.873193999734918,Sandy,Green,31,16,17,18,986,960,Organic,19
26,79,50,5.0797967698091995,Sandy,Green,46,22,23,20,1020,1232,NPK 5-10-5,20
24,68,68,6.475946744856728,Sandy,Green,46,25,24,12,936,733,NPK 20-20-10,18
22,70,61,6.13402706201396,Clay,Black,36,19,16,18,675,1292,NPK 5-10-5,13
24,78,58,7.027451775309993,Clay,Oolong,37,37,19,18,529,1312,NPK 20-20-10,10
21,72,70,5.150583396415688,Sandy,Black,37,25,12,9,931,742,NPK 5-10-5,18
23,62,65,6.807837637152273,Loam,Black,39,27,13,14,572,798,NPK 20-20-10,11
21,78,68,7.158613768603665,Clay,Green,45,31,24,16,592,1302,Organic,11
22,61,53,6.2133794122530865,Clay,Black,25,23,28,17,891,1051,NPK 20-20-10,17
28,63,58,6.608461841836597,Loam,Oolong,29,34,15,20,1305,554,NPK 20-20-10,26
28,72,59,5.557143628458983,Clay,Oolong,48,32,11,18,806,650,NPK 5-10-5,16
23,61,60,5.128072215195636,Sandy,Green,33,33,27,9,606,1466,NPK 5-10-5,12
25,80,59,6.849493912377757,Loam,Green,37,22,29,20,1276,700,NPK 5-10-5,25
21,77,51,7.486470211028573,Sandy,Black,37,16,9,11,1090,996,NPK 5-10-5,21
27,66,61,6.879896689781718,Clay,Green,31,34,22,14,1163,1080,NPK 5-10-5,23
27,70,63,5.657864444698769,Clay,Green,50,19,11,19,734,756,NPK 20-20-10,14
26,68,66,4.90847940722394,Loam,Green,38,31,22,14,1309,1017,NPK 5-10-5,26
29,70,64,5.256331828060201,Loam,Black,25,34,9,6,910,1155,NPK 5-10-5,18
27,65,69,5.352883688637697,Clay,Green,42,34,27,17,778,1123,NPK 5-10-5,15
29,71,53,6.855555263200345,Sandy,Black,32,39,10,17,542,1248,NPK 5-10-5,10
24,71,55,7.280675632466345,Sandy,Black,39,34,28,19,1149,981,NPK 20-20-10,22
26,61,67,4.600783729101312,Clay,Green,43,21,12,9,782,1151,NPK 20-20-10,15
22,71,70,6.489071499332355,Sandy,Black,37,35,30,19,1330,672,NPK 5-10-5,26
27,65,52,5.087210590962627,Clay,Oolong,50,33,22,11,754,1423,Organic,15
26,77,51,7.751206673297087,Loam,Oolong,27,38,8,13,946,965,NPK 20-20-10,18
24,64,59,4.805466208080344,Sandy,Black,39,36,7,10,1112,1260,Organic,22
30,76,68,4.7932263669138795,Clay,Oolong,49,29,24,16,876,577,NPK 20-20-10,17
22,80,69,6.778997245727021,Loam,Black,46,23,12,8,901,889,NPK 5-10-5,18
26,74,52,6.735542004983776,Clay,Black,42,31,17,11,656,916,NPK 5-10-5,13
27,71,65,7.254948359585257,Sandy,Oolong,34,26,25,6,1372,733,NPK 20-20-10,27
22,74,56,4.627489230020542,Clay,Oolong,39,33,23,10,717,1244,NPK 5-10-5,14
27,80,70,6.497505673958091,Clay,Oolong,27,38,10,5,1059,1231,NPK 5-10-5,21
21,75,54,6.027825753210893,Sandy,Oolong,43,31,5,20,1482,933,Organic,29
26,68,65,6.193089001691125,Clay,Oolong,36,25,18,12,623,1114,NPK 20-20-10,12
22,66,51,6.438303941285655,Loam,Black,34,26,20,20,1328,1224,NPK 5-10-5,26
26,63,54,4.848641517429403,Sandy,Black,44,33,5,18,1357,1377,NPK 20-20-10,27
23,72,50,5.416608878826212,Sandy,Green,33,17,16,20,533,558,Organic,10
23,76,57,7.811723164260034,Loam,Oolong,42,30,27,12,1220,1355,Organic,24
27,66,53,8.438180613018599,Clay,Black,48,39,30,5,1204,858,Organic,24
28,74,64,6.462225887707927,Clay,Oolong,30,27,14,15,645,1032,Organic,12
21,64,57,5.196044237706317,Clay,Black,27,39,21,18,530,826,NPK 5-10-5,10
30,74,62,7.10119046401204,Clay,Oolong,26,23,29,19,1285,1090,Organic,25
27,71,63,4.975412006663285,Sandy,Black,26,27,22,20,1419,697,Organic,28
29,76,64,8.098004595028513,Sandy,Green,30,39,5,14,543,1109,Organic,10
29,63,55,7.116915668193811,Clay,Oolong,45,24,25,7,538,574,NPK 20-20-10,10
25,71,63,7.081853134685489,Clay,Green,46,15,15,8,647,1312,NPK 5-10-5,12
30,70,70,4.7106214083504945,Loam,Oolong,48,36,22,15,966,607,NPK 20-20-10,19
23,64,55,6.515401396755918,Loam,Green,28,36,24,18,1125,1204,Organic,22
28,75,61,5.941060781712941,Sandy,Green,39,33,26,16,825,573,Organic,16
20,71,56,7.138682078151089,Sandy,Black,35,36,6,12,1417,1491,NPK 20-20-10,28
20,69,50,8.006573053321015,Loam,Black,37,19,17,11,695,1367,NPK 20-20-10,13
30,79,66,5.404971389543468,Clay,Black,50,30,16,18,952,579,Organic,19
26,70,68,7.437376531110102,Clay,Oolong,25,39,13,11,507,1388,NPK 20-20-10,10
23,61,63,4.789670910509093,Loam,Green,50,25,25,14,573,1366,NPK 20-20-10,11
25,74,56,7.276968675577436,Clay,Oolong,38,38,26,11,697,898,NPK 20-20-10,13
28,79,69,6.7223803873871555,Clay,Green,48,18,5,10,1400,904,NPK 20-20-10,28
23,72,51,4.524236485617742,Loam,Oolong,43,36,12,19,794,1221,NPK 20-20-10,15
25,79,66,5.956464540690067,Sandy,Oolong,33,33,29,11,755,736,Organic,15
20,64,69,7.367883169470968,Loam,Green,38,28,8,14,1293,989,NPK 5-10-5,25
30,65,59,6.214119372165245,Loam,Black,34,35,18,8,532,1288,NPK 20-20-10,10
25,67,66,8.08113094898851,Sandy,Black,34,25,27,13,1085,581,Organic,21
29,72,59,8.179250913830025,Clay,Green,44,34,14,13,665,1268,NPK 5-10-5,13
20,62,62,8.27655040347184,Loam,Green,46,38,9,17,1080,1278,Organic,21
22,78,57,7.175868678947282,Sandy,Black,35,30,24,5,822,809,Organic,16
21,77,70,6.853669791283047,Sandy,Oolong,31,18,10,7,1358,932,Organic,27
25,65,56,4.871761781568772,Clay,Oolong,50,29,12,12,1336,791,Organic,26
20,80,53,4.614034825828831,Sandy,Green,43,20,30,17,539,649,Organic,10
22,65,60,4.503986782129317,Sandy,Green,39,22,19,5,612,1261,NPK 5-10-5,12
27,64,64,7.8842030896940525,Sandy,Black,39,23,19,20,830,1210,NPK 20-20-10,16
25,77,52,5.692476297302715,Clay,Oolong,41,37,22,18,1148,1003,NPK 20-20-10,22
28,66,57,6.025815109081708,Sandy,Green,41,26,12,16,1126,1314,NPK 20-20-10,22
23,76,51,6.598308365311475,Clay,Oolong,35,23,18,8,512,519,Organic,10
21,69,64,8.14786005498562,Clay,Oolong,35,19,18,8,536,1293,NPK 5-10-5,10
23,62,67,5.309088941700958,Sandy,Oolong,31,32,26,11,625,1198,NPK 20-20-10,12
24,67,57,5.911516353037859,Loam,Oolong,30,19,23,10,713,1097,NPK 5-10-5,14
29,78,66,7.621676378191674,Loam,Oolong,42,27,28,14,1247,662,NPK 20-20-10,24
30,67,62,4.62164816579843,Loam,Oolong,28,20,13,11,1322,1291,NPK 5-10-5,26
26,60,56,6.002009828530744,Loam,Green,33,40,10,13,628,1053,NPK 20-20-10,12
26,62,65,8.163864091825625,Sandy,Oolong,25,24,8,10,840,1450,NPK 5-10-5,16
20,73,58,6.65439439868968,Loam,Green,46,39,14,15,676,750,NPK 5-10-5,13
21,80,58,7.127233779542511,Sandy,Black,36,26,13,15,1438,649,NPK 5-10-5,28
23,75,52,8.331287633906761,Clay,Oolong,29,16,7,6,1454,1453,NPK 20-20-10,29
28,65,65,8.09587574711978,Clay,Oolong,25,20,13,10,745,1468,NPK 20-20-10,14
29,62,69,5.564595068782477,Clay,Oolong,26,22,22,15,1406,521,NPK 20-20-10,28
26,70,65,6.695518303729837,Sandy,Oolong,32,26,22,6,540,1424,Organic,10
23,78,63,6.4821419124933195,Sandy,Green,40,38,29,14,1177,1242,NPK 5-10-5,23
20,71,54,5.641440524502439,Loam,Oolong,38,31,20,7,605,1098,NPK 20-20-10,12
21,64,58,5.703359021549334,Sandy,Green,46,16,28,13,976,1047,NPK 5-10-5,19
30,77,56,6.053347616889024,Loam,Green,48,33,11,8,1081,1076,NPK 20-20-10,21
25,63,64,5.58262645428003,Clay,Green,30,30,27,12,1166,1309,Organic,23
28,67,69,6.941253290071659,Clay,Green,34,36,14,18,1496,959,NPK 5-10-5,29
30,69,67,5.65631823128674,Loam,Oolong,50,16,27,7,782,1477,NPK 20-20-10,15
22,63,59,7.027743169953742,Clay,Green,38,38,22,14,1382,1388,NPK 5-10-5,27
27,62,68,5.086692995675529,Clay,Oolong,47,28,19,9,1000,1024,Organic,20
30,61,62,6.8832742760469845,Loam,Green,49,21,22,6,860,858,NPK 5-10-5,17
26,69,52,5.244187355978257,Sandy,Oolong,48,34,9,20,1374,652,NPK 20-20-10,27
28,75,64,8.322523863745886,Loam,Green,50,35,13,15,1424,1215,NPK 20-20-10,28
26,77,65,5.273263393443078,Loam,Oolong,35,24,10,6,1169,1323,Organic,23
24,67,70,5.963388896380092,Clay,Oolong,30,26,12,18,1055,1401,NPK 20-20-10,21
24,67,61,8.065628001278437,Clay,Green,32,36,30,17,1358,805,NPK 20-20-10,27
22,74,55,7.43214855187892,Loam,Black,45,35,18,8,615,1467,NPK 5-10-5,12
24,67,50,5.904443363569546,Sandy,Green,40,20,9,16,518,1335,NPK 5-10-5,10
25,62,59,5.436877618303678,Clay,Black,25,37,17,9,700,1375,Organic,14
20,69,61,8.17127282865279,Loam,Black,26,28,26,5,903,898,Organic,18
24,66,53,7.080938227936038,Loam,Oolong,25,27,21,19,1225,701,Organic,24
20,75,59,8.086617778175142,Loam,Black,46,25,18,11,1104,1347,Organic,22
26,72,57,6.583478591559736,Sandy,Black,35,35,27,5,671,1197,NPK 5-10-5,13
26,64,64,7.990039444417067,Clay,Oolong,41,25,19,5,652,865,NPK 5-10-5,13
24,73,61,5.297079489297165,Sandy,Oolong,38,23,26,14,1219,704,NPK 5-10-5,24
30,61,62,7.36918264664879,Sandy,Black,39,25,8,14,679,1327,Organic,13
23,65,69,6.3124377655749395,Clay,Black,36,39,11,19,1043,992,NPK 20-20-10,20
29,77,63,7.9143692857407615,Clay,Black,45,36,16,10,784,517,Organic,15
29,71,70,8.06975612979451,Clay,Black,31,20,9,20,710,1202,Organic,14
23,68,54,8.059576996799425,Clay,Green,27,24,30,20,725,774,Organic,14
23,69,57,4.71756744153501,Clay,Black,28,32,18,10,906,1076,Organic,18
24,80,69,6.22866262051868,Loam,Green,44,27,18,12,1088,1426,NPK 5-10-5,21
22,77,52,7.144042893019877,Loam,Green,45,40,19,11,747,1437,Organic,14
24,68,50,5.463717671164456,Sandy,Green,40,30,17,10,1289,1114,NPK 5-10-5,25
25,70,58,6.576487603516916,Sandy,Green,50,37,16,14,1152,816,NPK 20-20-10,23
20,67,64,6.573089136459788,Sandy,Green,46,15,16,13,1447,982,NPK 5-10-5,28
22,67,50,6.1826087422297125,Sandy,Black,47,33,11,12,626,621,NPK 5-10-5,12
24,71,51,6.693101635303539,Clay,Green,39,20,23,13,1182,1374,NPK 5-10-5,23
24,78,59,6.225024500173589,Loam,Green,37,23,5,13,827,955,Organic,16
28,76,52,8.439088897844574,Loam,Oolong,39,30,9,14,769,895,NPK 5-10-5,15
22,72,66,6.830672697574775,Loam,Oolong,30,26,19,16,1482,1073,NPK 5-10-5,29
30,70,60,8.246733942332437,Sandy,Green,47,20,21,11,1354,1247,NPK 5-10-5,27
24,80,65,8.073178436435285,Clay,Green,34,40,23,15,1298,1129,NPK 5-10-5,25
23,69,58,6.59111042787692,Loam,Black,43,21,13,11,1137,1084,NPK 20-20-10,22
22,78,69,6.202280270725169,Loam,Oolong,50,24,15,5,1440,941,NPK 5-10-5,28
26,62,65,5.548675527722779,Sandy,Oolong,39,21,14,6,1233,889,NPK 5-10-5,24
27,80,53,7.797045532290937,Loam,Green,48,33,9,15,820,570,NPK 5-10-5,16
20,70,57,6.62333787946617,Loam,Black,37,16,12,14,1299,1475,NPK 5-10-5,25
26,61,53,5.328610104754069,Sandy,Green,40,16,18,13,1127,900,NPK 20-20-10,22
27,77,57,5.823085509984805,Sandy,Black,40,34,10,17,1094,1102,NPK 5-10-5,21
27,63,66,5.894224368081889,Loam,Black,28,32,5,9,834,1212,NPK 20-20-10,16
26,60,66,5.700323795515539,Loam,Oolong,35,25,26,13,556,993,NPK 5-10-5,11
24,75,51,6.953594570173371,Clay,Green,40,17,9,9,869,616,NPK 20-20-10,17
26,73,53,5.560978526264204,Loam,Oolong,50,29,18,8,1189,729,NPK 5-10-5,23
26,66,53,4.778033540979059,Clay,Black,40,27,26,11,1227,1238,NPK 20-20-10,24
26,75,55,4.95788339041063,Clay,Oolong,33,37,14,16,733,857,NPK 5-10-5,14
26,60,59,6.3488401149553315,Sandy,Green,36,22,12,5,1337,1088,NPK 20-20-10,26
24,64,70,7.538254522557473,Loam,Green,40,37,23,11,1259,1025,NPK 5-10-5,25
24,79,54,6.254307802493934,Clay,Oolong,50,28,10,8,1274,1158,Organic,25
27,68,62,7.321926983394076,Loam,Green,33,25,15,14,1121,881,NPK 5-10-5,22
23,68,54,7.990906938594095,Clay,Black,34,17,22,5,1456,1331,NPK 5-10-5,29
22,65,64,5.821522491955504,Clay,Oolong,32,37,15,14,862,1143,NPK 5-10-5,17
29,72,56,8.008616673905788,Clay,Green,30,23,28,6,1289,907,NPK 5-10-5,25
28,62,62,7.231260347432224,Clay,Oolong,33,18,21,18,1013,750,NPK 5-10-5,20
22,80,56,7.011446263242203,Loam,Green,45,21,15,19,737,740,NPK 20-20-10,14
27,75,59,6.559822768432259,Clay,Green,35,40,22,8,1355,1158,NPK 5-10-5,27
28,62,70,7.82086137457537,Sandy,Black,27,32,22,17,838,683,NPK 5-10-5,16
26,72,68,7.95222567041553,Loam,Green,25,40,23,15,584,919,NPK 20-20-10,11
26,80,52,6.075726143093569,Loam,Oolong,25,34,21,9,1189,1152,NPK 20-20-10,23
26,79,62,8.183436286407238,Loam,Black,29,26,19,14,1382,797,NPK 5-10-5,27
20,74,50,7.745986106298643,Sandy,Black,46,34,22,8,522,1465,NPK 5-10-5,10
29,69,67,4.904006131664045,Clay,Oolong,47,20,13,19,1419,1206,NPK 20-20-10,28
23,68,58,6.768535138491652,Loam,Oolong,42,20,27,18,987,1353,NPK 20-20-10,19
28,61,58,7.351905655240791,Clay,Oolong,36,37,11,7,757,889,Organic,15
21,78,56,4.63584101178646,Clay,Oolong,45,40,18,13,789,507,NPK 20-20-10,15
29,77,63,4.998138422875077,Loam,Oolong,30,29,8,19,534,550,NPK 5-10-5,10
24,74,51,8.03419126433874,Clay,Oolong,43,21,8,16,576,1201,NPK 20-20-10,11
21,66,66,4.987252347710841,Loam,Oolong,41,15,18,17,1215,1105,NPK 5-10-5,24
20,79,66,8.068109310325374,Clay,Green,39,23,23,12,551,534,NPK 5-10-5,11
26,66,65,8.002495177406093,Sandy,Green,36,25,24,6,623,887,NPK 20-20-10,12
27,74,62,4.820429600403072,Sandy,Oolong,36,29,22,18,1112,1154,NPK 20-20-10,22
30,68,64,5.749023312590879,Clay,Black,40,22,27,18,750,1078,Organic,15
25,65,57,5.60877195527646,Loam,Oolong,33,40,25,15,974,823,NPK 5-10-5,19
28,75,50,5.385497480299849,Loam,Oolong,37,31,28,15,1173,1346,NPK 20-20-10,23
28,75,52,5.450306501649289,Loam,Oolong,49,38,16,17,632,892,NPK 20-20-10,12
23,66,50,6.007984633997677,Clay,Green,33,17,28,16,1153,556,NPK 20-20-10,23
30,74,66,7.103110139623088,Clay,Oolong,48,17,30,11,1220,1094,Organic,24
27,74,59,8.37964970901509,Loam,Black,45,33,25,15,1148,1219,Organic,22
25,77,56,5.673853521651459,Loam,Green,36,16,23,7,716,743,NPK 5-10-5,14
21,63,63,4.841094869846286,Clay,Oolong,47,36,12,14,1219,682,NPK 5-10-5,24
21,77,61,7.548673025083268,Clay,Green,46,28,18,18,566,890,Organic,11
21,60,53,6.03157016702996,Sandy,Oolong,33,24,10,10,1141,1021,NPK 5-10-5,22
21,65,70,4.9091301220833214,Sandy,Black,25,33,5,16,825,936,NPK 5-10-5,16
28,71,54,4.847579933843835,Clay,Green,27,21,14,18,1287,716,NPK 5-10-5,25
24,79,69,6.135519637781572,Clay,Black,27,40,7,6,1355,1122,NPK 20-20-10,27
23,69,66,7.15089799341216,Sandy,Green,37,21,17,15,911,1315,Organic,18
22,72,68,8.492909413818047,Clay,Green,37,33,22,20,797,1402,Organic,15
30,62,51,5.375332890789693,Loam,Oolong,46,31,14,10,1420,939,Organic,28
22,69,58,5.019627155718545,Sandy,Green,30,39,17,8,643,1097,Organic,12
25,65,53,6.620659121693512,Sandy,Black,48,20,19,14,1206,806,NPK 20-20-10,24
26,73,53,6.876890595681057,Loam,Black,49,16,11,15,953,709,Organic,19
26,66,61,6.956650889112154,Sandy,Black,37,22,22,5,640,810,NPK 5-10-5,12
25,74,67,6.862632481572004,Sandy,Black,39,19,19,11,641,1266,NPK 5-10-5,12
21,61,52,4.583295416072977,Loam,Green,29,16,12,6,1470,781,NPK 20-20-10,29
23,69,69,7.168377888923702,Loam,Green,35,39,22,17,1141,926,NPK 5-10-5,22
28,71,67,5.30506304128294,Clay,Oolong,42,30,24,8,1430,1464,NPK 20-20-10,28
20,64,64,6.884614142227671,Clay,Green,49,39,7,18,1420,731,NPK 20-20-10,28
23,77,54,5.949700533938079,Sandy,Oolong,45,30,17,10,1265,968,NPK 5-10-5,25
27,80,57,6.062848611059833,Sandy,Black,31,25,18,13,1228,1000,NPK 5-10-5,24
29,77,51,6.566752846045224,Sandy,Black,35,30,30,11,1352,883,Organic,27
24,73,65,6.485391205946007,Loam,Black,37,34,7,18,785,1027,NPK 20-20-10,15
27,75,65,5.872531921971495,Clay,Black,38,40,12,18,516,964,Organic,10
26,76,57,7.873655224745145,Clay,Oolong,49,32,24,9,1203,842,NPK 20-20-10,24
28,73,58,7.093263709765019,Clay,Oolong,39,15,26,11,1131,1391,NPK 5-10-5,22
28,67,53,6.122104286947672,Sandy,Green,39,23,27,19,1225,992,Organic,24
20,72,55,7.607698777733825,Sandy,Oolong,39,29,7,9,1197,556,NPK 5-10-5,23
23,79,55,8.153517469489437,Sandy,Black,48,21,25,15,1350,921,NPK 5-10-5,27
27,62,62,7.051465558860395,Clay,Oolong,35,38,14,18,630,1127,NPK 5-10-5,12
20,78,52,5.022525034194256,Loam,Oolong,38,16,27,13,1404,1231,NPK 20-20-10,28
24,64,66,5.2499698724922474,Loam,Black,38,26,17,8,1412,695,NPK 20-20-10,28
27,65,68,7.876305750173561,Sandy,Black,28,16,11,16,723,1478,NPK 20-20-10,14
24,73,50,8.448665631532535,Sandy,Black,41,39,6,10,927,819,NPK 20-20-10,18
24,65,66,5.071367976528487,Loam,Green,28,30,28,6,1077,796,Organic,21
27,61,66,5.8787584716889665,Clay,Green,26,27,11,16,881,1328,NPK 20-20-10,17
23,74,53,5.267751336460123,Loam,Green,46,30,29,13,1114,857,NPK 20-20-10,22
29,71,56,7.401413046539967,Loam,Oolong,41,19,24,20,904,584,NPK 5-10-5,18
29,75,70,5.460402820619677,Loam,Black,46,27,15,18,1131,1096,NPK 5-10-5,22
20,64,51,4.664246156236165,Sandy,Green,28,29,27,10,1429,1372,Organic,28
